epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,629,,,,0.5509867668151855,0.5567687153816223,0.38412314653396606
0,629,0.5207831263542175,0.5783917903900146,0.3645895719528198,,,
1,1259,,,,0.6164515614509583,0.6551585793495178,0.45099571347236633
1,1259,0.6267114877700806,0.6425574421882629,0.46342742443084717,,,
2,1889,,,,0.61114901304245,0.624362051486969,0.4429655373096466
2,1889,0.6511507034301758,0.6656734943389893,0.49086540937423706,,,
3,2519,,,,0.638115644454956,0.670764684677124,0.47377604246139526
3,2519,0.6786523461341858,0.6850345730781555,0.5211803317070007,,,
4,3149,,,,0.6273017525672913,0.6569178104400635,0.4690542221069336
4,3149,0.6809507012367249,0.6899350881576538,0.5257103443145752,,,
5,3779,,,,0.6211556196212769,0.639911413192749,0.45629557967185974
5,3779,0.6970477104187012,0.702947199344635,0.5422682166099548,,,
6,4409,,,,0.6531892418861389,0.6810391545295715,0.4912349581718445
6,4409,0.7012109756469727,0.7076379060745239,0.5476669669151306,,,
7,5039,,,,0.6338438987731934,0.6608765125274658,0.47380417585372925
7,5039,0.713525652885437,0.7174238562583923,0.5622951984405518,,,
8,5669,,,,0.6672943234443665,0.6846882700920105,0.5050374269485474
8,5669,0.7160033583641052,0.7197731733322144,0.5658217072486877,,,
9,6299,,,,0.6349080801010132,0.6528342962265015,0.46907034516334534
9,6299,0.7203140258789062,0.7222471237182617,0.5695328712463379,,,
10,6929,,,,0.6645134091377258,0.6979051232337952,0.5061115622520447
10,6929,0.7248634696006775,0.7292308807373047,0.5754917860031128,,,
11,7559,,,,0.656012237071991,0.6782535314559937,0.49649858474731445
11,7559,0.7323696613311768,0.7334796190261841,0.5846728086471558,,,
12,8189,,,,0.6212567090988159,0.6661283373832703,0.4630168378353119
12,8189,0.7380046844482422,0.7388646602630615,0.5911303758621216,,,
13,8819,,,,0.6480047702789307,0.6841384172439575,0.4915842115879059
13,8819,0.7379682660102844,0.73746258020401,0.5908306837081909,,,
14,9449,,,,0.655687153339386,0.691336989402771,0.49914777278900146
14,9449,0.745858907699585,0.7467929720878601,0.6012105345726013,,,
15,10079,,,,0.6407853364944458,0.6687027812004089,0.47986865043640137
15,10079,0.7436226606369019,0.7463671565055847,0.5990445613861084,,,
16,10709,,,,0.6667506694793701,0.6984800100326538,0.5084336400032043
16,10709,0.7537534236907959,0.7511753439903259,0.6108937859535217,,,
17,11339,,,,0.6410083770751953,0.6865060329437256,0.48340022563934326
17,11339,0.7519879341125488,0.7538609504699707,0.6086422801017761,,,
18,11969,,,,0.6562398076057434,0.6888649463653564,0.49857568740844727
18,11969,0.7561228275299072,0.7541332244873047,0.6139373779296875,,,
19,12599,,,,0.6368233561515808,0.6732779145240784,0.478602796792984
19,12599,0.7618099451065063,0.759762167930603,0.6208963990211487,,,
20,13229,,,,0.6020238399505615,0.6321262717247009,0.441318154335022
20,13229,0.7677122950553894,0.7643517255783081,0.6282564401626587,,,
21,13859,,,,0.6143786311149597,0.6437791585922241,0.455422967672348
21,13859,0.7702030539512634,0.7681708335876465,0.632053554058075,,,
22,14489,,,,0.6346362829208374,0.6591123342514038,0.4781217873096466
22,14489,0.7695288062095642,0.7670844197273254,0.6303188800811768,,,
23,15119,,,,0.6354554891586304,0.6676855087280273,0.48118871450424194
23,15119,0.7739306092262268,0.7705368399620056,0.6361790299415588,,,
24,15749,,,,0.6257971525192261,0.6544224619865417,0.46903324127197266
24,15749,0.7724901437759399,0.7694688439369202,0.634065568447113,,,
25,16379,,,,0.6334524750709534,0.6630505323410034,0.47291049361228943
25,16379,0.7744813561439514,0.7722707986831665,0.6371556520462036,,,
26,17009,,,,0.6459639668464661,0.6760449409484863,0.4881644546985626
26,17009,0.777342677116394,0.7740417122840881,0.6406663060188293,,,
27,17639,,,,0.6305122375488281,0.6642082929611206,0.47104987502098083
27,17639,0.7794389724731445,0.7776889801025391,0.6439419388771057,,,
28,18269,,,,0.6320756673812866,0.6629613637924194,0.47258126735687256
28,18269,0.7824670076370239,0.7776142954826355,0.647118866443634,,,
29,18899,,,,0.6220349669456482,0.6524864435195923,0.46285825967788696
29,18899,0.7767419219017029,0.7769863605499268,0.6400647163391113,,,
